Order ID,Order Date,Customer Name,Product Category,Region,Sales Channel,Units Sold,Unit Price,Order Notes,Revenue
85,2023-02-03,Chad Dillon,Footwear,North,Wholesale,9,3265,West mean world run realize add upon role wish each surface how season.,29385
86,2024-02-09,Gina Velasquez,Toys,North,Wholesale,67,2050,Thought ahead attorney south condition maintain instead realize body pretty election week.,137350
87,2021-12-03,Dennis Randall,Clothing,South,Online,41,2402,Development perhaps whose during remember partner perform.,98482
88,2021-02-05,Wanda Clark,Footwear,West,Retail,41,2028,Pull concern modern official none class gun leader.,83148
89,2021-12-30,Roy Miller,Clothing,West,Online,98,306,Her hospital picture she high subject approach human.,29988
90,2024-04-28,Michele Alvarez,Clothing,North,Wholesale,88,1276,Land many maintain election during person blue right.,112288
91,2020-06-10,Jared Stone,Clothing,East,Retail,96,1453,Movie discuss first message mission central recently their.,139488
92,2020-07-20,William Snyder,Books,East,Online,42,473,Responsibility rule area catch player management box.,19866
93,2022-09-22,Dr. Amy Myers MD,Footwear,West,Online,48,986,Community town key concern account enter toward.,47328
94,2020-09-26,Samuel Allen,Electronics,West,Online,27,133,Training discussion lead part civil management offer smile north rich wrong along.,3591
95,2022-03-26,Dominic Turner,Electronics,East,Retail,93,2114,Check always minute laugh left same present both adult.,196602
96,2023-07-18,Alicia James,Toys,East,Online,96,2919,Imagine side sort claim her painting it offer no food.,280224
97,2021-03-31,Michael Guerra,Furniture,East,Wholesale,95,4249,Occur author do road ten drug give out treatment.,403655
98,2024-01-25,Katelyn Oconnell,Clothing,North,Online,81,3201,Water church under network thus learn.,259281
99,2023-06-29,Tim Brown,Footwear,North,Retail,68,4464,Need civil box data company here to hope approach heavy.,303552
100,2022-10-13,Daniel Miller,Footwear,South,Retail,74,2119,Road financial day fire guy past half right beautiful watch man move.,156806
101,2020-10-22,Robert Henderson,Toys,East,Online,20,3502,Million down maybe already fine popular.,70040
102,2021-12-20,Michael Wright,Clothing,East,Retail,4,145,Foot individual subject various ball billion any four spring business exactly pay.,580
103,2020-12-03,Anna Hernandez,Toys,North,Online,11,173,Business American system can main scene.,1903
104,2022-05-28,Ryan Parker,Electronics,West,Wholesale,29,2538,Degree until save information our key design cost.,73602
105,2022-12-12,Dustin Sparks,Footwear,West,Wholesale,41,1559,Threat write positive notice when site nearly by sometimes.,63919
106,2022-03-02,Ricky Mack,Toys,North,Retail,75,4825,Along design idea order south democratic to picture support.,361875
107,2020-08-04,Morgan Sims PhD,Furniture,South,Online,47,4811,Star store that fear cup son contain add question public nice finally.,226117
108,2022-02-02,Tammy Vazquez,Toys,West,Wholesale,64,4876,Kid energy take source indeed financial media people condition piece wall.,312064
109,2020-07-06,Sarah Hogan,Groceries,East,Online,74,330,Lot main section wind sure customer source debate large price seat.,24420
110,2021-01-14,Melissa Rios,Books,East,Wholesale,82,1427,Finish win too look manager authority old voice.,117014
111,2021-05-07,Aaron Carson,Footwear,North,Wholesale,34,813,Good kind contain local little worker.,27642
112,2022-11-30,Brittany Santiago,Footwear,South,Wholesale,67,1032,Perhaps traditional short safe young network although program thank.,69144
113,2023-03-26,William Scott,Toys,West,Online,14,4449,Drop whose American star between go consider.,62286
114,2020-01-15,April Jones DVM,Footwear,West,Online,56,3110,Television beyond fine who rest our relate moment.,174160
115,2020-03-05,Nicholas Ray,Toys,West,Wholesale,21,368,Sort well wife gun community develop.,7728
116,2021-06-04,Stacy Murphy DVM,Electronics,South,Online,82,4372,Particular life everything ago either end although song opportunity.,358504
117,2023-09-29,Dr. Nancy Woodward DVM,Books,West,Wholesale,2,3525,Area car until office last million put environmental news power.,7050
118,2023-02-26,William Kim,Electronics,East,Wholesale,8,368,Figure political player exist modern cut fire deep home our there.,2944
119,2021-10-09,Erin Scott,Furniture,,Retail,35,1646,Without difficult talk time sign specific interest evidence consider.,57610
120,2024-02-04,Nicole Stein,Clothing,North,Wholesale,94,436,Paper wrong chair responsibility why partner wall situation only almost.,40984
121,2022-12-22,Courtney Ramirez,Groceries,South,Online,7,2995,Whole toward even generation kind expert they.,20965
122,2023-03-08,Steven Nichols,Books,West,Retail,1,448,Increase form in still example stay school cover expect cost fund you.,448
123,2024-03-02,Jennifer Stewart,Groceries,East,Wholesale,7,4573,Way middle story live spring woman tend body north.,32011
124,2021-08-15,David Valdez,Clothing,West,Wholesale,88,1022,Building cold floor role idea join seven crime risk make.,89936
125,2021-01-26,David Tucker,Electronics,North,Retail,97,4164,Social bank nor city quality everybody yeah Mrs nearly class mouth money line.,403908
126,2021-02-22,Robert West,Furniture,South,Online,70,2078,Officer nor quality television dinner member gun natural business apply dream group total.,145460
127,2020-10-15,Nathan Gonzalez,Clothing,East,Retail,40,2883,Along service course last south consumer onto.,115320
128,2021-01-13,Donald Reynolds,Groceries,East,Retail,9,1389,Often size control open goal Democrat.,12501
129,2024-02-22,Shannon Castillo,Footwear,North,Retail,21,2566,Serious station those various figure over television high lose live million culture.,53886
130,2020-08-18,Philip Robinson,Groceries,West,Wholesale,74,3895,Writer help white recognize enough plant ball house politics.,288230
131,2022-10-14,Marissa Marsh,Groceries,South,Retail,95,2894,Argue rise mention future into thus write home computer.,274930
132,2020-02-10,Kurt Douglas,Electronics,West,Online,57,3260,Big drop usually song good anything Mrs impact difference issue management.,185820
133,2022-11-17,Christopher Brady,Footwear,North,Retail,68,1877,Plant your whose region deep wish home bill leave.,127636
134,2020-05-14,Lauren Martin,Toys,South,Wholesale,61,3910,Include suggest religious cut create teacher consider probably place issue employee.,238510
135,2020-07-19,Emily Coleman,Groceries,North,Online,14,785,Window start consumer threat cause detail hope service girl idea program foreign war.,10990
136,2022-02-18,Andre Massey,Electronics,North,Online,40,3096,Listen stock study condition look together.,123840
137,2022-07-18,Michelle Johnson,Footwear,West,Wholesale,91,1028,Thing can physical hear against often call.,93548
138,2022-11-22,Austin Webb,Groceries,North,Retail,70,2895,Total sometimes field agree themselves full pressure cut again follow computer.,202650
139,2022-12-07,Kenneth Fowler,Books,South,Retail,46,765,About though address accept nothing agent candidate challenge subject with ago.,35190
140,2021-05-17,Amanda Brown,Toys,East,Retail,15,2399,Age including may rather far lead record.,35985
141,2021-02-10,Phillip Norris,Footwear,South,Retail,64,141,Fund thousand my world pay official research argue director what force wind first tonight.,9024
142,2024-05-16,Jason Sanchez,Footwear,South,Wholesale,94,3073,Change tree author personal group once feeling represent station.,288862
143,2022-03-15,Adriana Duncan,Books,North,Online,16,1627,Enough myself author give fly protect billion represent describe drive eight make.,26032
144,2020-04-08,Alexander Becker,Toys,West,Retail,96,2671,Vote them against score cup million international loss structure least rather indicate.,256416
145,2021-11-14,Kathleen Kaufman,Clothing,South,Retail,5,1193,Mrs important least environment national old hard type world enjoy land subject.,5965
146,2021-12-26,Bryce Haynes,Clothing,East,Retail,43,1351,Play someone information thing skin focus young.,58093
147,2024-04-19,Jason Park,Toys,South,Wholesale,37,2764,Wall standard ago effect member reduce how always very television.,102268
148,2022-08-18,Joshua Lewis,Furniture,North,Wholesale,9,1408,Soldier within them source position record century like build.,12672
149,2021-09-04,Melinda Lewis,Groceries,North,Online,88,296,Big interview within others protect evening though hot.,26048
150,2024-01-25,Jennifer Hardy,Groceries,North,Wholesale,93,2265,Significant southern require north attention apply a money learn find natural.,210645
151,2021-10-04,Andrea Nunez,Electronics,North,Wholesale,18,2996,Development serious experience what me break each theory food woman develop still body.,53928
152,2022-10-25,Cynthia Jackson,Toys,West,Retail,67,4536,Tree young how city note authority.,303912
153,2023-05-26,Bruce Williams,Footwear,South,Wholesale,22,3352,Stop soon task if policy rock hold.,73744
154,2021-05-17,Zachary Blevins,Clothing,South,Retail,42,4813,Church reality natural public media structure same seven.,202146
155,2022-02-05,Sharon Morgan,Toys,South,Wholesale,14,955,Toward administration next include performance scene hotel push team reason thus.,13370
156,2021-02-01,Paul Richardson,Books,South,Retail,84,4990,Technology professional individual arrive long civil town or.,419160
157,2022-05-20,Andrea Barnes,Electronics,South,Wholesale,61,4343,Their fast official throw produce day American reflect cup region car bring.,264923
158,2022-03-05,Gabriel Johnson,Books,East,Retail,49,3813,Away property oil health white book show number girl hotel hundred I.,186837
159,2021-01-27,Kyle Mullins,Electronics,,Retail,84,3554,Left ready ten even interview hit.,298536
160,2020-07-25,Whitney Marsh,Clothing,West,Wholesale,42,634,South economic product know despite member return happy name organization citizen although.,26628
161,2022-11-04,Sara Powell,Groceries,South,Wholesale,37,1681,Traditional sort economy thousand fall federal view upon six represent executive anyone surface.,62197
162,2024-04-26,Jennifer Turner,Toys,South,Online,68,1551,Young sign drive already raise bring.,105468
163,2022-06-10,James Benjamin,Groceries,East,Retail,8,4894,Page bed parent operation audience throughout machine radio player.,39152
164,2024-01-24,Samuel Miller,Clothing,West,Retail,95,909,Arm statement center yeah play inside evening.,86355
165,2024-05-17,Melissa Burgess,Toys,East,Retail,45,1856,Challenge short read case six add ever arrive business phone.,83520
166,2022-05-13,Nicole Mckenzie,Footwear,North,Online,64,3520,Environmental situation blood parent visit pull money dark various.,225280
167,2022-01-12,Sherry Rivera,Books,West,Online,49,4935,Research be whole my hot long brother.,241815
168,2023-06-18,Mrs. Jessica Ortiz,Furniture,East,Online,49,3706,Soldier throughout table street property onto star.,181594
169,2021-07-17,Nicholas Mcguire,Furniture,North,Wholesale,2,2321,Example enter ability church Republican us hotel.,4642
170,2022-10-17,Luis Collins,Clothing,East,Retail,60,3452,Sell suddenly old strong particularly center charge central.,207120
171,2020-04-05,Shawn Russell,Footwear,East,Wholesale,73,4577,Free opportunity data research computer great.,334121
172,2021-04-29,Lisa Harris,Electronics,West,Online,65,2725,Former ask play able can herself.,177125
173,2023-12-01,Thomas Banks,Groceries,East,Wholesale,79,710,Author go want pattern that citizen nearly nothing bill world successful for.,56090
174,2020-08-18,Jacob Freeman,Books,West,Retail,33,2797,Campaign me reveal friend cover decide page create rise take.,92301
175,2022-01-18,Kevin Scott,Furniture,South,Online,26,1006,Ball right hot lot only manager industry whose require religious.,26156
176,2023-04-09,John Allen,Groceries,East,Online,31,4587,Knowledge stage themselves job try let long sister live.,142197
177,2021-06-24,Rachael Nixon,Clothing,South,Online,75,3904,Picture learn wrong forward pretty view also.,292800
178,2022-11-25,Karen Fox,Groceries,North,Wholesale,34,2486,Us candidate five open speak put why study.,84524
179,2021-06-08,Dawn Chen,Toys,East,Online,17,1120,Easy window pressure hope detail wall character federal speak.,19040
180,2023-03-29,Alicia Knapp,Furniture,South,Retail,82,2022,Add firm decision owner study also doctor stand treatment.,165804
181,2023-06-20,Monique Snow,Footwear,North,Wholesale,10,87,Ago throw so consider him year.,870
182,2023-01-14,Nicholas Ochoa,,North,Online,61,1459,Glass behind hard standard current single break player enjoy trial skill ability.,88999
183,2021-07-31,Daniel Hernandez,Electronics,West,Online,52,88,However player benefit project result around floor anyone provide standard conference.,4576
184,2021-11-12,Robert Rollins,Electronics,South,Retail,63,3152,Control term enough seat great give four even.,198576
185,2021-07-10,Lance Lloyd,Toys,North,Retail,56,2278,Manager husband later manager resource possible eight detail.,127568
186,2024-05-16,Joy Morgan,Footwear,South,Retail,38,3250,Country station a age federal dark human party red change.,123500
187,2022-10-09,Karen Obrien,Toys,East,Wholesale,45,2861,Your develop card subject board season talk yet.,128745
188,2021-10-07,Michael Anderson,Groceries,West,Wholesale,4,1115,Sign rock difference ever issue herself forward candidate case behind use article several.,4460
189,2022-03-06,Stacy Wright,Electronics,North,Retail,91,3385,Simply together well within nature career Mr nor plan anything whom necessary.,308035
190,2022-11-17,Marcus Castillo,Furniture,West,Retail,60,1659,Avoid media born close indeed unit idea hand what see describe continue different.,99540
191,2024-04-28,David Perry,Footwear,South,Retail,66,1911,Already actually of talk respond step site.,126126
192,2023-09-25,Michelle Nolan,Books,South,Retail,33,4579,Full so bring tend place I it manage item.,151107
193,2023-09-16,Sarah Nelson,Electronics,North,Retail,62,1915,Wind save company have yourself in actually during claim character city say.,118730
194,2024-03-09,Julie Benjamin,Electronics,West,Wholesale,87,2254,Pull where character heart interesting give.,196098
195,2023-10-03,Allison Gibson,Clothing,South,Wholesale,20,4539,Concern tell view see environmental clearly.,90780
196,2024-02-05,Larry Dickson,Electronics,East,Retail,92,4898,Alone clearly accept public must face maintain in hope second.,450616
197,2023-06-08,Jodi Harrison,Electronics,East,Online,44,2660,Protect strong yard public any technology without white kind thousand back.,117040
198,2020-07-08,William Bright DVM,Furniture,South,Retail,22,4222,Try religious down may generation accept account successful sea short education huge physical.,92884
199,2023-06-02,Larry Walsh,Footwear,South,Wholesale,86,2490,Former life I of stage audience since identify allow event.,214140
200,2023-11-09,Natalie Davies,Electronics,North,Online,23,1634,Word behavior kid four nature easy speech of ball.,37582
201,2023-11-01,Richard Cooper,Clothing,East,Retail,56,782,Arrive visit water site lawyer Mr she kid organization answer ok there.,43792
202,2023-07-30,Tina Mccarthy,Clothing,East,Online,50,1046,New successful green radio scientist crime.,52300
203,2021-09-24,Jennifer Graham,Toys,South,Online,84,1455,One rest college buy sister protect piece important mother simply security Republican.,122220
204,2021-09-19,Andrea Davis,Clothing,South,Online,75,1605,Security debate only bring them political.,120375
205,2022-08-30,Shawn Kerr,Electronics,South,Online,86,1295,Protect forget kind discover go score.,111370
206,2023-07-06,Miguel Decker,Toys,South,Online,40,3100,Past realize without both simple fact him chance ready so instead get environmental.,124000
207,2023-10-14,John Jones,Groceries,West,Retail,76,3268,Power article tell political thus speak hospital individual home reach.,248368
208,2021-12-10,Dawn Key,Groceries,,Wholesale,82,2742,Knowledge poor even method reason anything information seem four food those wrong individual.,224844
209,2024-01-19,Cheryl Thomas,Furniture,North,Online,5,3325,Floor could blue possible skin address want player.,16625
210,2023-12-05,Donald Allen,Footwear,South,Online,99,1734,Decade arrive buy decision usually sea.,171666
211,2021-10-10,Mark Mills,Groceries,West,Wholesale,45,4985,Number gun man fund agency cause.,224325
212,2020-11-13,Carlos Smith,Furniture,South,Wholesale,32,311,Door statement try almost lead purpose garden practice tend lot friend.,9952
213,2023-06-02,Joseph Palmer,Furniture,East,Retail,79,4356,Reason if fall compare American than summer long old professional without attention.,344124
214,2023-06-11,Meghan Anderson,Toys,South,Retail,87,174,When apply rather stuff it often chance series politics beat or.,15138
215,2021-11-14,Michael Barnett,Clothing,East,Retail,59,1137,Single her likely page cell prepare model care care should miss.,67083
216,2021-10-25,Mr. Richard Lozano,Books,South,Wholesale,11,3076,Site state her thing able four animal another black seem provide major.,33836
217,2023-10-29,Johnathan Espinoza,Furniture,North,Online,14,176,Shake share team common democratic wrong.,2464
218,2024-06-19,Nicole Gonzalez,Footwear,East,Wholesale,89,4241,Begin laugh stop measure student third find politics possible reason.,377449
219,2024-02-04,Gina Mayo,Electronics,South,Wholesale,60,2380,Send decision save end use can live out.,142800
220,2023-06-10,Melanie Olsen,Clothing,South,Retail,62,2908,Enough article scientist main away save represent need especially machine.,180296
221,2023-02-10,Aaron Martin,Electronics,South,Retail,1,2010,Film wide action look write bill bar after character indeed.,2010
222,2024-02-29,Anita Espinoza,Electronics,South,Online,90,1970,Green impact shoulder treatment six season single region once baby.,177300
223,2021-03-17,Robin Mitchell,Groceries,East,Retail,22,859,Green actually institution explain open social fall four.,18898
224,2021-07-17,Cheryl Mendez,,South,Retail,63,2464,International deep box agent night join prevent different stop enter Democrat.,155232
225,2023-07-15,David Coleman,Toys,West,Wholesale,95,3714,Computer should likely culture out type.,352830
226,2024-03-13,John Hawkins,Furniture,South,Retail,45,2423,Marriage place happen certain ground Republican meet way piece source understand.,109035
227,2023-11-10,,Footwear,West,Retail,37,2485,Think the special south guy conference most agreement ok travel.,91945
228,2023-11-11,Rebecca Williams,Electronics,West,Wholesale,96,2158,Discuss face energy field alone reduce his probably financial especially management seek.,207168
229,2023-02-10,Brittney Riley,Footwear,South,Online,81,3389,Listen benefit chair visit fund herself course year chair up this really kitchen.,274509
230,2024-06-24,Hannah Davila,Electronics,East,Online,63,456,Camera pressure should other maintain question figure for.,28728
231,2022-08-09,Joshua Hester,Groceries,North,Retail,84,1789,Long computer traditional door cover outside.,150276
232,2023-01-09,Jamie Rodriguez,Electronics,North,Retail,20,468,Door door allow energy us water TV each car.,9360
233,2021-11-29,Clifford King,Furniture,West,Online,63,4899,Force plan value someone impact talk.,308637
234,2020-04-22,Sandra Guerra,Furniture,West,Online,60,3584,Nearly kitchen parent book other see new work bar nice amount.,215040
235,2020-01-02,Adam Perkins,Electronics,South,Wholesale,25,1490,Day theory again scientist article couple mean free Democrat boy.,37250
236,2021-10-03,Cynthia Flynn,Furniture,South,Online,84,2934,Network star hard none traditional treatment value ratehr field.,246456
237,2020-08-07,Nathaniel Hill,Toys,North,Online,61,1732,Free whose ball traditional debate color color line sound.,105652
238,2024-05-08,Timothy Quinn,Toys,North,Online,61,1758,Image side nor while see white child investment because shake citizen.,107238
239,2022-05-04,Megan Ramsey,Furniture,North,Retail,91,3403,Recognize blue magazine help party real.,309673
240,2023-06-02,Deanna Romero,Groceries,West,Online,86,200,Through candidate always course democratic one model after friend run.,17200
241,2021-01-19,Elizabeth Ramirez,Footwear,West,Retail,16,1243,Like on seat family appear old get later southern to glass.,19888
242,2023-11-27,Sarah Brown,Clothing,North,Online,9,2101,Discover physical stage attorney model state behind find class collection stage sound.,18909
243,2023-02-27,Eric Brown,Toys,East,Online,54,1598,Threat special its agreement religious show drug.,86292
244,2022-12-12,Kenneth Jackson,Clothing,South,Online,80,3848,Word only their trial door appear himself simple against program political assume pick.,307840
245,2021-12-30,,Books,North,Online,96,4492,Person much with do professional voice yes what director already.,431232
246,2023-12-10,David Cohen,Footwear,East,Online,26,2837,Read a little school catch huge.,73762
247,2020-09-03,Andrew Wilkinson,Clothing,East,Wholesale,84,4987,Year bank always subject room enter point.,418908
248,2022-04-15,Deanna Fletcher DDS,Toys,East,Online,72,1702,Season rate growth seat old out parent evidence everyone player street.,122544
249,2024-01-02,Tyrone Moore,Toys,North,Retail,56,219,Page onto through fire if suddenly somebody type level.,12264
250,2020-07-21,Kevin Spence,Electronics,West,Retail,16,571,Character full section response television tax official.,9136
251,2023-04-22,Isaac Smith,Furniture,,Wholesale,86,783,Fall cost there security mouth officer total candidate development.,67338
252,2020-05-02,Daniel Swanson DDS,Clothing,South,Retail,52,1607,Myself mean special will imagine catch sea over.,83564
253,2021-02-04,Jasmine Fuentes,Groceries,South,Wholesale,8,3204,Protect he teacher thought page do hundred democratic own.,25632
254,2022-02-05,Peter Fox,Books,East,Online,23,2351,Morning author available Mrs successful add.,54073
